City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
8,Sabzawār,IR,81.39,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
14,Keti Bandar,PK,79.68,overcast clouds,24.1447,67.4497,Haji laloo memon house
31,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
32,Puerto Carreño,CO,79.59,broken clouds,6.189,-67.4859,Casa Hotel Victoria
38,Butaritari,KI,83.73,broken clouds,3.0707,172.7902,Isles Sunset Lodge
39,Itarema,BR,79.16,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
42,Jamestown,US,79.18,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
59,Samarai,PG,78.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
63,Longhua,CN,79.66,overcast clouds,23.6137,114.1919,Huadu Hotel
67,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
73,Fukuechō,JP,79.16,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
75,Zhanakorgan,KZ,77.27,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
78,Nantucket,US,77.14,clear sky,41.2835,-70.0995,Jared Coffin House
85,Kapaa,US,86.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,Callaway,US,86.92,scattered clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
89,Weihai,CN,77.05,light rain,37.5017,122.1136,Beihai Travel Resort
94,Green River,US,88.2,few clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
97,Lorengau,PG,82.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
98,Fortuna,US,87.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
100,Broome,US,82.6,few clouds,42.2506,-75.833,Chenango Valley State Park
102,Bengkulu,ID,75.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Oytal,KZ,77.68,clear sky,42.9057,73.2697,Sanatorium Ak-Niet
112,Melfi,IT,77.29,broken clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
114,Hengyang,CN,81.75,overcast clouds,26.8881,112.615,Honglin Guesthouse
115,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
118,Lincoln,US,88.18,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
124,Mogadishu,SO,76.42,light rain,2.0371,45.3438,Hotel Juba
128,Namatanai,PG,82.22,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
129,Kumul,CN,82.63,overcast clouds,42.8,93.45,Laoyutang Resort
