City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhenhai,CN,2021-08-06 02:10:30,24.2582,118.0905,78.71,93,100,23.42
1,Great Falls,US,2021-08-06 02:07:27,47.5002,-111.3008,81.41,30,1,7.0
2,Mahebourg,MU,2021-08-06 02:10:30,-20.4081,57.7,66.49,88,40,16.11
3,Port Elizabeth,ZA,2021-08-06 02:10:30,-33.918,25.5701,61.09,94,75,14.97
4,Puerto Ayora,EC,2021-08-06 02:06:49,-0.7393,-90.3518,70.56,93,61,4.0
5,Albany,US,2021-08-06 02:06:39,42.6001,-73.9662,70.41,83,0,3.13
6,Butaritari,KI,2021-08-06 02:10:31,3.0707,172.7902,83.26,64,11,12.5
7,Nigde,TR,2021-08-06 02:10:31,37.8333,34.75,62.62,45,0,2.82
8,Cidreira,BR,2021-08-06 02:10:32,-30.1811,-50.2056,60.84,92,100,17.11
9,Port Lincoln,AU,2021-08-06 02:10:32,-34.7333,135.8667,58.12,66,100,10.31
10,Avarua,CK,2021-08-06 02:10:33,-21.2078,-159.775,77.05,61,75,4.61
11,Mataura,NZ,2021-08-06 02:10:33,-46.1927,168.8643,51.48,69,60,4.16
12,Moville,US,2021-08-06 02:10:33,42.4889,-96.0725,76.96,90,100,22.06
13,Ushuaia,AR,2021-08-06 02:06:19,-54.8,-68.3,35.76,98,100,4.68
14,Ribeira Grande,PT,2021-08-06 02:07:16,38.5167,-28.7,73.44,92,29,14.72
15,Punta Arenas,CL,2021-08-06 02:10:34,-53.15,-70.9167,33.91,93,90,26.46
16,Rikitea,PF,2021-08-06 02:06:38,-23.1203,-134.9692,74.23,74,59,15.52
17,Hobart,AU,2021-08-06 02:10:35,-42.8794,147.3294,61.05,51,75,5.01
18,Mason City,US,2021-08-06 02:08:09,43.1536,-93.201,72.05,80,1,5.75
19,Kapaa,US,2021-08-06 02:10:35,22.0752,-159.319,82.72,75,75,4.0
20,Romny,UA,2021-08-06 02:10:36,50.751,33.4747,62.58,75,45,10.33
21,Khatanga,RU,2021-08-06 02:07:36,71.9667,102.5,70.36,32,8,12.57
